Stammnummer;Zielvariable;Tag;Monat;Dauer;Anruf-ID;Alter;Geschlecht;Art der Anstellung;Familienstand;Schulabschluß;Ausfall Kredit;Kontostand;Haus;Kredit;Kontaktart;Anzahl der Ansprachen;Tage seit letzter Kampagne;Anzahl Kontakte letzte Kampagne;Ergebnis letzte Kampagne
432176974;;5;may;283;69546777;35;m;Management;verheiratet;Studium;nein;76;nein;nein;Handy;1;362;9;Kein Erfolg
432157692;;18;jul;111;69546887;31;m;Management;verheiratet;Studium;nein;557;ja;nein;Handy;1;;0;Unbekannt
432170850;;29;jan;475;69550874;26;m;Technischer Beruf;single;Studium;nein;1274;nein;nein;Festnetz;2;;0;Unbekannt
432151613;;5;jun;209;69560082;26;m;Arbeiter;verheiratet;Abitur;nein;986;ja;nein;Unbekannt;3;;0;Unbekannt
432167744;;18;nov;459;69561716;32;m;Arbeiter;single;Abitur;nein;3845;ja;nein;Handy;3;;0;Unbekannt
432171512;;2;feb;491;69562101;34;m;Management;verheiratet;Studium;nein;490;ja;nein;Handy;1;;0;Unbekannt
432164841;;22;aug;187;69562274;30;w;Management;verheiratet;Studium;nein;696;nein;nein;Handy;4;;0;Unbekannt
432143118;;7;may;117;69566275;50;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;156;ja;nein;Unbekannt;3;;0;Unbekannt
432162895;;12;aug;157;69567224;57;w;Arbeiter;verheiratet;Abitur;nein;6004;ja;nein;Handy;6;;0;Unbekannt
432160756;;31;jul;226;69568206;38;m;Arbeiter;verheiratet;Abitur;nein;4336;ja;nein;Handy;6;;0;Unbekannt
432162466;;11;aug;33;69569863;48;m;Arbeiter;verheiratet;Unbekannt;nein;617;ja;nein;Handy;2;;0;Unbekannt
432159354;;25;jul;471;69575076;59;w;Rentner;verheiratet;Abitur;nein;5706;ja;nein;Handy;2;;0;Unbekannt
432184941;;7;jan;23;69577876;33;m;Verwaltung;geschieden;Abitur;nein;212;ja;nein;Unbekannt;1;;0;Unbekannt
432156905;;15;jul;77;69578998;38;m;Selbständig;verheiratet;Studium;nein;0;nein;ja;Handy;3;;0;Unbekannt
432184799;;9;dec;390;69580934;24;w;Student;single;Abitur;nein;1847;nein;nein;Handy;1;;0;Unbekannt
432144081;;9;may;484;69585889;29;w;Arbeiter;verheiratet;Real-/Hauptschule;ja;-43;ja;nein;Unbekannt;1;;0;Unbekannt
432181997;;26;may;253;69592210;25;m;Verwaltung;verheiratet;Studium;nein;906;nein;nein;Handy;1;;0;Unbekannt
432186531;;15;jul;185;69593286;36;m;Arbeiter;single;Studium;nein;1830;nein;nein;Handy;5;181;6;Kein Erfolg
432154240;;20;jun;55;69595021;37;w;Technischer Beruf;verheiratet;Abitur;nein;3728;nein;nein;Unbekannt;4;;0;Unbekannt
432160530;;30;jul;141;69595489;29;w;Arbeiter;verheiratet;Abitur;nein;1175;ja;ja;Handy;4;;0;Unbekannt
432144964;;13;may;195;69595912;48;m;Gründer;verheiratet;Studium;nein;313;ja;nein;Unbekannt;2;;0;Unbekannt
432187104;;9;sep;386;69596866;48;m;Technischer Beruf;verheiratet;Real-/Hauptschule;nein;235;nein;nein;Handy;2;191;3;Erfolg
432161011;;31;jul;369;69597219;40;m;Gründer;verheiratet;Abitur;nein;-125;nein;ja;Handy;5;;0;Unbekannt
432161962;;7;aug;281;69597290;50;m;Arbeiter;verheiratet;Abitur;nein;1176;nein;nein;Handy;2;;0;Unbekannt
432160144;;29;jul;543;69602176;33;m;Selbständig;verheiratet;Abitur;nein;215;ja;nein;Handy;12;;0;Unbekannt
432173536;;27;feb;49;69605075;75;m;Rentner;verheiratet;Abitur;nein;1470;nein;nein;Festnetz;1;;0;Unbekannt
432184955;;11;jan;300;69605288;70;m;Rentner;verheiratet;Real-/Hauptschule;nein;3230;nein;nein;Handy;2;48;1;Kein Erfolg
432162766;;12;aug;138;69608967;35;m;Technischer Beruf;verheiratet;Abitur;nein;482;nein;nein;Handy;2;;0;Unbekannt
432181622;;18;may;7;69610914;24;w;Technischer Beruf;single;Abitur;nein;-73;ja;nein;Handy;2;;0;Unbekannt
432156978;;15;jul;98;69610981;47;m;Management;single;Studium;nein;512;nein;nein;Handy;2;;0;Unbekannt
432151019;;3;jun;140;69616212;41;w;Management;single;Studium;nein;256;ja;nein;Unbekannt;6;;0;Unbekannt
432155323;;7;jul;159;69616263;27;m;Arbeiter;verheiratet;Abitur;nein;102;nein;ja;Handy;2;;0;Unbekannt
432147427;;21;may;210;69621133;39;w;Arbeiter;verheiratet;Abitur;nein;5853;ja;nein;Unbekannt;2;;0;Unbekannt
432178621;;11;may;177;69625618;27;w;Arbeiter;single;Abitur;nein;100;ja;nein;Handy;4;367;1;Kein Erfolg
432166900;;17;nov;223;69625919;50;w;Management;verheiratet;Studium;nein;4;nein;nein;Handy;1;96;2;Kein Erfolg
432155833;;9;jul;127;69626031;34;w;Verwaltung;verheiratet;Abitur;nein;0;ja;ja;Handy;1;;0;Unbekannt
432152169;;9;jun;1098;69626441;36;m;Management;verheiratet;Real-/Hauptschule;nein;22856;nein;nein;Unbekannt;1;;0;Unbekannt
432162450;;11;aug;106;69628166;49;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;-232;nein;ja;Handy;2;;0;Unbekannt
432147141;;21;may;222;69628831;38;w;Dienstleistung;verheiratet;Abitur;nein;-224;ja;ja;Unbekannt;1;;0;Unbekannt
432170344;;28;jan;1745;69630230;53;m;Management;verheiratet;Studium;nein;0;nein;nein;Handy;2;;0;Unbekannt
432174890;;17;apr;582;69630538;42;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;205;ja;nein;Handy;1;;0;Unbekannt
432169388;;21;nov;158;69631132;42;m;Gründer;verheiratet;Abitur;nein;215;ja;ja;Handy;1;;0;Unbekannt
432150914;;3;jun;236;69632613;43;m;Arbeiter;geschieden;Real-/Hauptschule;nein;25;ja;nein;Unbekannt;7;;0;Unbekannt
432163064;;13;aug;132;69636856;32;w;Hausfrau;verheiratet;Real-/Hauptschule;nein;163;nein;nein;Handy;2;;0;Unbekannt
432176107;;22;apr;107;69640476;25;w;Student;single;Abitur;nein;8;nein;nein;Handy;2;;0;Unbekannt
432150753;;3;jun;103;69650046;21;w;Arbeitslos;verheiratet;Abitur;nein;2062;ja;nein;Unbekannt;1;;0;Unbekannt
432146132;;16;may;268;69656754;47;m;Arbeiter;geschieden;Abitur;nein;380;ja;nein;Unbekannt;6;;0;Unbekannt
432145085;;14;may;735;69660140;42;w;Management;verheiratet;Abitur;nein;43;ja;nein;Unbekannt;8;;0;Unbekannt
432184674;;17;nov;709;69663292;62;m;Rentner;verheiratet;Abitur;nein;298;nein;nein;Handy;2;;0;Unbekannt
432166157;;29;aug;114;69666780;35;w;Technischer Beruf;geschieden;Abitur;nein;515;ja;ja;Handy;3;;0;Unbekannt
432164579;;21;aug;381;69668290;47;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;468;nein;nein;Handy;7;;0;Unbekannt
432183533;;20;aug;377;69671442;59;m;Management;verheiratet;Studium;nein;2239;nein;nein;Handy;6;90;1;Erfolg
432168203;;19;nov;136;69673022;33;m;Selbständig;single;Abitur;nein;4;ja;nein;Handy;2;180;2;Kein Erfolg
432184585;;12;nov;702;69674104;63;m;Rentner;verheiratet;Real-/Hauptschule;nein;8044;nein;nein;Handy;1;;0;Unbekannt
432177481;;7;may;183;69674218;39;m;Selbständig;verheiratet;Abitur;nein;1304;ja;ja;Handy;3;;0;Unbekannt
432185262;;5;feb;110;69675989;29;m;Hausfrau;single;Studium;nein;19;nein;nein;Handy;2;64;2;Erfolg
432167969;;19;nov;361;69678224;32;m;Management;single;Studium;nein;4262;ja;nein;Handy;1;;0;Unbekannt
432172756;;5;feb;61;69681468;33;w;Dienstleistung;single;Abitur;nein;406;ja;nein;Handy;1;275;1;Kein Erfolg
432150810;;3;jun;131;69684621;40;m;Selbständig;verheiratet;Real-/Hauptschule;nein;435;ja;ja;Unbekannt;5;;0;Unbekannt
432153969;;19;jun;1012;69685666;27;w;Arbeiter;verheiratet;Abitur;nein;61;ja;nein;Unbekannt;1;;0;Unbekannt
432186717;;2;aug;90;69685845;76;m;Hausfrau;verheiratet;Real-/Hauptschule;nein;1483;nein;nein;Handy;4;;0;Unbekannt
