Stammnummer;Zielvariable;Tag;Monat;Dauer;Anruf-ID;Alter;Geschlecht;Art der Anstellung;Familienstand;Schulabschluß;Ausfall Kredit;Kontostand;Haus;Kredit;Kontaktart;Anzahl der Ansprachen;Tage seit letzter Kampagne;Anzahl Kontakte letzte Kampagne;Ergebnis letzte Kampagne
432148809;nein;27;may;166;623;30;w;Arbeiter;verheiratet;Abitur;nein;-202;nein;nein;Unbekannt;2;;0;Unbekannt
432184318;nein;26;oct;183;1992;42;w;Management;verheiratet;Studium;nein;2463;nein;nein;Handy;2;;0;Unbekannt
432182482;nein;5;jun;227;2778;26;w;Dienstleistung;single;Abitur;nein;2158;ja;ja;Festnetz;1;;0;Unbekannt
432150520;nein;2;jun;31;3070;34;m;Arbeitslos;geschieden;Studium;ja;75;ja;nein;Unbekannt;3;;0;Unbekannt
432145870;nein;15;may;1231;6583;48;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;559;ja;nein;Unbekannt;2;;0;Unbekannt
432147286;nein;21;may;303;24232;37;m;Technischer Beruf;verheiratet;Abitur;nein;5729;ja;nein;Unbekannt;3;;0;Unbekannt
432186620;ja;23;jul;251;24594;30;w;Student;single;Studium;nein;3026;nein;nein;Handy;1;535;1;Kein Erfolg
432166789;nein;17;nov;188;26432;35;m;Management;verheiratet;Studium;nein;209;ja;nein;Handy;1;;0;Unbekannt
432146157;nein;16;may;196;26559;37;m;Arbeiter;single;Real-/Hauptschule;nein;117;ja;nein;Unbekannt;3;;0;Unbekannt
432166062;nein;28;aug;147;28358;40;m;Technischer Beruf;verheiratet;Abitur;ja;0;nein;nein;Handy;2;;0;Unbekannt
432186286;nein;17;jun;101;29450;38;w;Arbeiter;verheiratet;Real-/Hauptschule;nein;1630;ja;nein;Handy;3;94;19;Sonstiges
432184966;nein;12;jan;140;32205;85;w;Rentner;verheiratet;Unbekannt;nein;1934;nein;nein;Festnetz;1;;0;Unbekannt
432173955;nein;6;apr;43;34914;50;w;Management;verheiratet;Studium;nein;101;ja;nein;Handy;2;326;1;Kein Erfolg
432149084;nein;28;may;151;37047;50;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;490;ja;nein;Unbekannt;3;;0;Unbekannt
432150808;nein;3;jun;21;38665;37;w;Arbeiter;verheiratet;Abitur;ja;-399;ja;ja;Unbekannt;3;;0;Unbekannt
432172640;ja;5;feb;917;41689;27;w;Management;single;Studium;nein;2648;nein;nein;Handy;1;;0;Unbekannt
432150762;nein;3;jun;68;42654;54;m;Management;single;Studium;nein;0;ja;nein;Unbekannt;1;;0;Unbekannt
432150766;nein;3;jun;363;45986;42;w;Dienstleistung;verheiratet;Abitur;nein;3689;ja;nein;Unbekannt;1;;0;Unbekannt
432174816;nein;16;apr;237;48343;39;m;Arbeiter;verheiratet;Abitur;nein;180;ja;nein;Handy;1;;0;Unbekannt
432164174;nein;20;aug;156;48410;44;m;Technischer Beruf;single;Abitur;nein;0;nein;nein;Handy;2;;0;Unbekannt
432171427;nein;2;feb;66;48809;53;m;Management;verheiratet;Abitur;nein;478;ja;nein;Handy;1;264;2;Kein Erfolg
432186037;ja;13;may;620;49718;34;m;Technischer Beruf;single;Studium;nein;2838;ja;nein;Handy;3;;0;Unbekannt
432168306;nein;19;nov;300;53610;31;w;Verwaltung;geschieden;Studium;nein;-2;ja;nein;Handy;1;;0;Unbekannt
432164298;nein;20;aug;194;54223;32;m;Management;verheiratet;Studium;nein;1014;nein;nein;Handy;6;;0;Unbekannt
432164487;nein;21;aug;376;57981;30;m;Management;verheiratet;Studium;nein;4948;nein;nein;Handy;2;;0;Unbekannt
432148048;nein;26;may;470;63323;39;m;Arbeiter;verheiratet;Unbekannt;nein;0;ja;nein;Unbekannt;1;;0;Unbekannt
432155457;nein;8;jul;133;66210;58;w;Rentner;verheiratet;Unbekannt;nein;-230;nein;ja;Handy;2;;0;Unbekannt
432166945;nein;17;nov;231;66229;36;m;Arbeiter;verheiratet;Abitur;nein;1392;nein;ja;Handy;1;;0;Unbekannt
432176737;nein;4;may;124;67398;50;w;Management;verheiratet;Studium;nein;311;nein;nein;Handy;5;;0;Unbekannt
432158303;nein;22;jul;161;70549;26;m;Dienstleistung;single;Abitur;nein;47;ja;nein;Handy;1;;0;Unbekannt
432142670;nein;5;may;148;70601;32;m;Technischer Beruf;geschieden;Studium;nein;2558;nein;nein;Unbekannt;2;;0;Unbekannt
432174587;nein;16;apr;188;73661;36;w;Arbeiter;geschieden;Abitur;nein;3102;ja;nein;Handy;1;147;1;Kein Erfolg
432155413;ja;8;jul;740;76903;33;m;Gründer;verheiratet;Abitur;nein;-627;ja;ja;Handy;1;;0;Unbekannt
432169576;nein;21;nov;450;78198;49;w;Hausfrau;verheiratet;Real-/Hauptschule;nein;249;ja;nein;Handy;1;;0;Unbekannt
432156461;nein;11;jul;131;79496;34;m;Arbeiter;verheiratet;Abitur;ja;-745;ja;ja;Handy;2;;0;Unbekannt
432157311;nein;16;jul;1389;88724;34;m;Arbeiter;verheiratet;Real-/Hauptschule;nein;425;ja;nein;Handy;7;;0;Unbekannt
432154558;nein;20;jun;11;91218;30;w;Management;verheiratet;Studium;nein;-250;ja;nein;Unbekannt;6;;0;Unbekannt
432186043;ja;13;may;289;94280;77;w;Rentner;verheiratet;Real-/Hauptschule;nein;3324;nein;nein;Handy;1;91;5;Erfolg
